"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
4.664463154E1,6.500166416E1,2.548392765E1,1.353719512E1,1.489666462E0,1.892019196E2,4.000000000E0,3.337436676E0
4.763125616E1,6.500165430E1,2.548394178E1,1.350605793E1,1.465319157E0,1.755800018E2,4.000000000E0,3.254123449E0
4.865010200E1,6.500164248E1,2.548394320E1,1.301572843E1,1.436570048E0,1.784066772E2,4.000000000E0,3.178312302E0
4.963413908E1,6.500162466E1,2.548395881E1,1.224320073E1,1.420270920E0,1.776649170E2,4.000000000E0,3.060793638E0
5.064497312E1,6.500160963E1,2.548397072E1,1.213180373E1,1.426659465E0,1.771677551E2,4.000000000E0,3.000000000E0
5.163043827E1,6.500159198E1,2.548398224E1,1.201904106E1,1.443896294E0,1.770886230E2,4.000000000E0,3.000000000E0
5.264233008E1,6.500157304E1,2.548399804E1,1.240573190E1,1.479113340E0,1.738395538E2,4.000000000E0,3.000000000E0
5.363546966E1,6.500155771E1,2.548401885E1,1.342390417E1,1.526409507E0,1.703330078E2,4.000000000E0,3.000000000E0
5.463850831E1,6.500154013E1,2.548403144E1,1.341406218E1,1.553893209E0,1.694613037E2,4.000000000E0,3.000000000E0
5.565919254E1,6.500152293E1,2.548404628E1,1.325207341E1,1.569959402E0,1.711481628E2,4.000000000E0,3.000000000E0
5.664763627E1,6.500150798E1,2.548405383E1,1.303972939E1,1.570741296E0,1.713790131E2,4.000000000E0,3.000000000E0
5.762826831E1,6.500149496E1,2.548403668E1,1.025335840E1,1.587083101E0,1.738185425E2,4.000000000E0,3.000000000E0
5.863637146E1,6.500147722E1,2.548404806E1,1.052589908E1,1.602263927E0,1.729710846E2,3.000000000E0,3.000000000E0
5.964422404E1,6.500146115E1,2.548405932E1,1.056005566E1,1.606872439E0,1.722574005E2,3.000000000E0,3.000000000E0
6.062819661E1,6.500144648E1,2.548407142E1,1.058610171E1,1.611921072E0,1.732143250E2,3.000000000E0,3.000000000E0
6.164478050E1,6.500143107E1,2.548408079E1,1.063851454E1,1.606245160E0,1.705168457E2,3.000000000E0,3.000000000E0
6.261922407E1,6.500141670E1,2.548409153E1,1.058772398E1,1.601141572E0,1.717630615E2,4.000000000E0,3.000000000E0
6.363751753E1,6.500140177E1,2.548410071E1,1.078968555E1,1.589318871E0,1.728093109E2,4.000000000E0,3.000000000E0
6.461974576E1,6.500138721E1,2.548411130E1,1.077879633E1,1.578032613E0,1.730883484E2,4.000000000E0,3.000000000E0
6.562517199E1,6.500138603E1,2.548410341E1,1.633282728E1,1.546310544E0,1.707425842E2,4.000000000E0,3.000000000E0
6.665154742E1,6.500137345E1,2.548412169E1,1.607252949E1,1.498566389E0,1.708225250E2,4.000000000E0,3.000000000E0
6.763630511E1,6.500136325E1,2.548413258E1,1.563639333E1,1.448815227E0,1.712204590E2,4.000000000E0,3.000000000E0
6.864787622E1,6.500135099E1,2.548414804E1,1.520050763E1,1.396912336E0,1.698520355E2,4.000000000E0,3.000000000E0
6.964950645E1,6.500134003E1,2.548415372E1,1.471981109E1,1.367032409E0,1.729442291E2,4.000000000E0,3.000000000E0
7.061645537E1,6.500132553E1,2.548415473E1,1.439659723E1,1.344820499E0,1.736269073E2,4.000000000E0,3.000000000E0
7.165809087E1,6.500131251E1,2.548415352E1,1.245256857E1,1.310094476E0,1.755677643E2,4.000000000E0,3.000000000E0
7.264211945E1,6.500129378E1,2.548415629E1,1.219400669E1,1.309382319E0,1.659939117E2,4.000000000E0,3.000000000E0
7.364538352E1,6.500127663E1,2.548416814E1,1.216279780E1,1.304954410E0,1.645856628E2,4.000000000E0,3.000000000E0
7.463786272E1,6.500126601E1,2.548417672E1,1.225626721E1,1.290181994E0,1.618391418E2,4.000000000E0,3.000000000E0
7.566820098E1,6.500125412E1,2.548418957E1,1.225213002E1,1.278574944E0,1.631292114E2,4.000000000E0,3.000000000E0
7.665294495E1,6.500124014E1,2.548419894E1,1.236145057E1,1.281436205E0,1.616778107E2,4.000000000E0,3.000000000E0
7.763356214E1,6.500121706E1,2.548421476E1,1.491972339E1,1.314423203E0,1.559391327E2,4.000000000E0,3.000000000E0
7.864091937E1,6.500119628E1,2.548422302E1,1.401622059E1,1.357088447E0,1.640929260E2,4.000000000E0,3.000000000E0
