"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
8.959401630E-1,4.469539165E0,-1.332891464E1,1.518953800E0
9.059729630E-1,1.572381973E0,-1.281963539E1,4.990172863E0
9.160047630E-1,-3.951946259E0,-1.315176296E1,7.004887581E0
9.260362960E-1,-6.164883137E0,-1.176327515E1,7.579664230E0
9.360686620E-1,-7.542157173E0,-1.058719063E1,8.921458244E0
9.461008280E-1,-6.441335678E0,-9.827603340E0,8.661244392E0
9.561323610E-1,-5.140292168E0,-1.065170288E1,7.635286808E0
9.661638940E-1,-4.990837097E0,-1.161695862E1,8.115022659E0
9.761960600E-1,-6.382646561E0,-1.111914635E1,1.012815475E1
9.862282930E-1,-7.655499458E0,-1.109797668E1,1.074763489E1
9.962605260E-1,-1.105011463E1,-9.859132767E0,9.851797104E0
1.006292759E0,-1.286747932E1,-7.089595795E0,7.182068825E0
1.016324959E0,-1.279687309E1,-6.704881191E0,5.754395008E0
1.026356392E0,-1.101502609E1,-7.717367649E0,5.068859577E0
1.036388525E0,-8.091053009E0,-8.056924820E0,7.025040627E0
1.046420591E0,-5.393704414E0,-7.348805428E0,8.304421425E0
1.056452591E0,-3.462401390E0,-7.373182297E0,8.393261909E0
1.066484657E0,-2.759568214E0,-7.040143967E0,8.177003860E0
1.076516723E0,-4.838733673E0,-5.432162285E0,8.703381538E0
1.086548723E0,-7.160438538E0,-3.616543055E0,9.158516884E0
1.096580789E0,-8.292496681E0,-2.848669052E0,9.688050270E0
1.106612855E0,-8.785499573E0,-2.447291374E0,9.949492455E0
1.116611521E0,-7.837235451E0,-2.776507616E0,1.052323246E1
1.126610254E0,-6.601511002E0,-3.434076786E0,9.931665421E0
1.136608987E0,-5.941478729E0,-3.505189419E0,8.825903893E0
1.146607687E0,-5.440152168E0,-2.851709366E0,6.962190151E0
1.156605953E0,-5.030307770E0,-1.672769785E0,4.546570778E0
1.166604819E0,-4.357471466E0,5.813040957E-2,1.727019072E0
1.176604019E0,-4.453824043E0,9.613874555E-1,-4.398534894E-1
1.186602785E0,-4.219641685E0,1.445734262E0,-2.784284115E0
1.196602185E0,-3.423936844E0,3.024798632E-1,-4.406725883E0
1.206600951E0,-1.816790581E0,-1.669713020E0,-5.309793472E0
1.216599717E0,1.298895836E0,-3.123493671E0,-3.699980259E0
1.226598683E0,3.946527004E0,-5.143688679E0,-3.401122093E0
1.236597316E0,7.746344090E0,-6.422500134E0,-4.898239136E0
1.246596082E0,9.380083084E0,-6.346388817E0,-3.156724453E0
1.256595215E0,6.854928970E0,-6.377673626E0,-3.724925518E0
1.266594315E0,4.894439697E0,-5.552583218E0,-2.759119987E0
1.276592648E0,2.367886543E0,-5.469544411E0,-3.824948549E0
1.344638313E0,-6.827119827E0,-1.028829861E1,3.499815226E0
1.356638313E0,-6.817690849E0,-1.032380676E1,3.475100756E0
1.366638313E0,-6.806022644E0,-1.036609173E1,3.442313910E0
1.376638313E0,-6.793267250E0,-1.040994072E1,3.403600216E0
1.386638313E0,-6.780568123E0,-1.045331001E1,3.363057852E0
1.396638313E0,-6.770873070E0,-1.050226116E1,3.338274717E0
1.406638313E0,-6.765475273E0,-1.056000996E1,3.337163448E0
1.416638313E0,-6.763985634E0,-1.063423252E1,3.360361814E0
1.426638313E0,-6.764787674E0,-1.073353386E1,3.400050163E0
1.436639938E0,-6.766288757E0,-1.085635662E1,3.443677187E0
1.446639938E0,-6.766199112E0,-1.099678707E1,3.475250959E0
1.456639938E0,-6.763333321E0,-1.114256096E1,3.484728575E0
1.466639938E0,-6.758266449E0,-1.128069782E1,3.473259926E0
1.476639938E0,-6.752631187E0,-1.140688515E1,3.449767351E0
1.486639938E0,-6.747672081E0,-1.152285767E1,3.422150850E0
1.496639938E0,-6.744120598E0,-1.163297939E1,3.394754887E0
1.506639938E0,-6.742130280E0,-1.174055099E1,3.368888378E0
1.516639938E0,-6.742179871E0,-1.184706593E1,3.347072124E0
1.526639938E0,-6.744041443E0,-1.195597744E1,3.327498436E0
1.536639938E0,-6.747979164E0,-1.207038689E1,3.309994698E0
1.546640306E0,-6.754526138E0,-1.219081211E1,3.296140194E0
1.556640306E0,-6.762436867E0,-1.231333733E1,3.280416965E0
1.566640972E0,-6.770379066E0,-1.243523884E1,3.256834507E0
1.576640972E0,-6.777802467E0,-1.255300903E1,3.224599361E0
1.586640972E0,-6.784377098E0,-1.266370773E1,3.184568882E0
1.596640972E0,-6.790681839E0,-1.276515770E1,3.142303467E0
1.606640972E0,-6.797284126E0,-1.285834694E1,3.101686478E0
1.616640972E0,-6.804626465E0,-1.294406796E1,3.066186428E0
1.626640972E0,-6.813468933E0,-1.302707958E1,3.036851883E0
1.636640972E0,-6.823843002E0,-1.311113548E1,3.010716438E0
1.646640972E0,-6.836129189E0,-1.319628906E1,2.989780903E0
1.656640972E0,-6.849231720E0,-1.328039646E1,2.970113039E0
1.666640972E0,-6.861466408E0,-1.336001396E1,2.945912123E0
1.676640472E0,-6.872050285E0,-1.343296242E1,2.915602684E0
1.686640938E0,-6.881127357E0,-1.349626255E1,2.885147572E0
1.696640938E0,-6.890150070E0,-1.355244446E1,2.861487389E0
1.706640938E0,-6.898843765E0,-1.360193634E1,2.843418598E0
1.716640938E0,-6.906966209E0,-1.364822197E1,2.824671268E0
1.726640938E0,1.016842461E1,9.331011772E-1,7.799377441E0
1.736640504E0,1.042922306E1,9.739859104E-1,9.065404892E0
1.746640504E0,1.054209328E1,9.651830196E-1,1.036147213E1
1.756640504E0,1.050573063E1,1.039472580E0,1.180037689E1
1.766640504E0,1.026363182E1,1.060846329E0,1.261514473E1
1.776640504E0,1.002509499E1,1.268110037E0,1.300155926E1
1.786640970E0,1.023282433E1,1.350644350E0,1.282694530E1
1.796641203E0,1.036649036E1,1.351795435E0,1.248380852E1
1.806641203E0,1.036694050E1,1.215237617E0,1.246672916E1
1.816641203E0,1.055478764E1,1.183172226E0,1.268786907E1
1.826641203E0,1.053606701E1,1.184477568E0,1.304299736E1
1.836641203E0,1.035754776E1,9.440417290E-1,1.310939121E1
1.846640969E0,1.015700054E1,1.131459713E0,1.333218193E1
1.856640269E0,9.982561111E0,1.285915852E0,1.286843014E1
1.866638935E0,9.823143959E0,1.664560556E0,1.253086090E1
1.876638468E0,9.844345093E0,1.686124802E0,1.207752800E1
1.886638001E0,9.535512924E0,1.380612612E0,1.262898445E1
1.897386272E0,9.325415611E0,8.132852316E-1,1.406902885E1
1.907385805E0,9.325743675E0,-5.998945236E-2,1.547383595E1
1.917385338E0,9.640049934E0,-9.590046406E-1,1.598993587E1
1.927385338E0,1.019966316E1,-1.547670245E0,1.545345402E1
1.937385338E0,1.045405579E1,-1.826530695E0,1.462441921E1
1.947385338E0,1.013280773E1,-1.879716158E0,1.408040237E1
1.957385371E0,9.912792206E0,-1.863134623E0,1.332707214E1
1.967385404E0,9.765561104E0,-1.635602474E0,1.241368771E1
1.977385904E0,9.887290001E0,-1.205019951E0,1.112205887E1
1.987385437E0,9.851758003E0,-8.728420138E-1,9.843619347E0
1.997385437E0,9.536472321E0,-2.762258053E-1,9.249936104E0
2.007385437E0,8.912548065E0,5.132746696E-2,9.074535370E0
2.017385470E0,8.608704567E0,4.098585844E-1,9.275535583E0
2.027385503E0,9.129968643E0,5.488184690E-1,8.971239090E0
2.037385503E0,9.532364845E0,5.626443624E-1,8.891489029E0
